"","2.5 %","97.5 %"
".sig01",NA,NA
".sig02",NA,NA
".sig03",NA,NA
"scaled_call_num_2",-0.0864930042843793,0.187385335167229
"primary_stimde",0.171411800747309,0.793565820706279
"primary_stimra_t_ra",-1.179303636494,-0.440044014596526
"primary_stimrra",-0.415762624964531,0.187466168224166
"primary_stimrts",-0.254309133222603,0.344043301271643
"primary_stimts",-0.222755267862155,0.37008398347764
"primary_stimt2c",0.231271876016759,0.829499255182311
"primary_stimt1c",-0.188816562366886,0.420202401567424
"scaled_call_num_2:primary_stimra_t_ra",-1.30756673847716,-0.836194690299313
"scaled_call_num_2:primary_stimrra",-1.06024971651992,-0.673230204167429
"scaled_call_num_2:primary_stimrts",-0.626125341553466,-0.203336655273419
"scaled_call_num_2:primary_stimts",-0.437614855533964,-0.106998931667545
"scaled_call_num_2:primary_stimt2c",-0.367646761656881,0.0139347114739905
"scaled_call_num_2:primary_stimt1c",-0.467970018340227,-0.114001663373512
