"","2.5 %","97.5 %"
".sig01",NA,NA
".sig02",NA,NA
".sig03",NA,NA
"scaled_call_num_2",-0.0864792947193426,0.187403433383273
"primary_stimde",0.171371143338116,0.793603741351875
"primary_stimra",-1.17934666376688,-0.440007104585601
"primary_stimrra",-0.415809003964968,0.187484000356798
"primary_stimrts",-0.254336633560477,0.344078836296834
"primary_stimts",-0.222802268405289,0.370115667789104
"primary_stimt2c",0.231227203003041,0.829527810329978
"primary_stimt1c",-0.18886367103271,0.420233772565437
"scaled_call_num_2:primary_stimra",-1.30757359486127,-0.836195551189834
"scaled_call_num_2:primary_stimrra",-1.06027440586779,-0.673249998470432
"scaled_call_num_2:primary_stimrts",-0.626136904061037,-0.20334322673635
"scaled_call_num_2:primary_stimts",-0.437627340788392,-0.1070066811975
"scaled_call_num_2:primary_stimt2c",-0.367670365561231,0.0139170247090759
"scaled_call_num_2:primary_stimt1c",-0.467988234489026,-0.114016666099978
